employee_id,country,region,sector,age_group,gender,year,wellbeing_score,burnout_risk_score,weekly_work_hours,productivity_score,absenteeism_days_per_year,mental_health_support_access,remote_work_pct,salary_satisfaction,mental_health_diagnosis,presenteeism_score
EMP010001,China,Asia,Finance,56-65,Male,2021,57.9,6.96,39.7,40.5,9.9,1,72,2.9,0,59.2
EMP010002,Mexico,South America,Manufacturing,46-55,Male,2023,52.5,7.5,42.2,41.8,11.2,1,16,2.8,0,59.4
EMP010003,Australia,Oceania,Transportation,36-45,Female,2018,57.7,4.23,42.5,64.3,8.1,1,0,4.4,0,37.3
EMP010004,Italy,Europe,Finance,56-65,Male,2021,63.7,7.55,47.7,53.5,9.5,1,48,3.6,0,62.5
EMP010005,Nigeria,Africa,Government,46-55,Male,2017,55.8,3.17,41.0,57.1,9.4,1,0,2.1,0,28.3
EMP010006,Japan,Asia,Manufacturing,36-45,Male,2020,84.0,3.86,42.4,73.8,7.5,1,11,4.9,0,37.7
EMP010007,Singapore,Asia,Manufacturing,26-35,Male,2018,81.8,6.03,43.1,67.8,6.5,1,0,5.0,0,55.4
EMP010008,Switzerland,Europe,Transportation,36-45,Female,2024,81.8,3.72,45.6,69.0,3.0,1,9,5.0,0,28.5
EMP010009,Germany,Europe,Retail,56-65,Female,2018,48.0,4.41,38.6,55.7,10.1,1,0,4.6,0,41.8
EMP010010,Norway,Europe,Retail,46-55,Female,2017,88.9,7.16,39.9,74.1,6.1,0,0,3.8,0,62.4
EMP010011,Egypt,Africa,Construction,26-35,Female,2017,62.2,5.09,34.1,58.9,4.8,0,0,1.5,0,39.1
EMP010012,Kenya,Africa,Healthcare,18-25,Female,2017,67.8,7.31,51.4,52.5,7.2,0,0,1.7,1,63.9
EMP010013,Egypt,Africa,Manufacturing,36-45,Male,2018,60.2,5.92,40.3,47.7,8.0,1,0,2.4,0,57.5
EMP010014,India,Asia,Agriculture,36-45,Female,2021,66.8,1.75,41.7,80.2,6.3,0,13,1.0,0,11.4
EMP010015,Poland,Europe,Healthcare,36-45,Male,2017,66.3,7.86,49.9,53.3,11.9,0,0,2.7,0,54.8
EMP010016,Brazil,South America,Healthcare,46-55,Male,2018,56.7,6.84,42.4,47.2,8.0,1,0,3.5,1,51.8
EMP010017,Russia,Europe,Manufacturing,36-45,Male,2015,65.2,4.37,42.2,63.6,5.4,0,0,2.2,0,32.8
EMP010018,Mexico,South America,Government,18-25,Male,2015,68.6,5.3,32.5,63.8,8.4,0,0,2.6,0,47.9
EMP010019,Norway,Europe,Agriculture,18-25,Female,2017,66.9,4.43,44.7,69.7,7.1,0,0,5.0,0,32.4
EMP010020,Sweden,Europe,Healthcare,26-35,Female,2024,77.0,7.89,47.2,48.3,6.5,1,6,2.9,0,53.8
EMP010021,Nigeria,Africa,Technology,56-65,Male,2017,46.8,4.23,42.9,57.5,8.4,0,0,2.5,0,31.4
EMP010022,Germany,Europe,Education,18-25,Male,2016,78.5,6.71,40.7,63.1,11.2,1,0,4.5,0,60.3
EMP010023,South Africa,Africa,Manufacturing,56-65,Male,2018,54.4,4.59,30.3,63.6,6.6,0,0,2.7,0,36.2
EMP010024,Switzerland,Europe,Construction,46-55,Female,2018,71.7,4.79,46.1,71.8,9.0,1,0,5.0,0,33.9
